asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-02,2026-09-03T02:17:23+00:00,AAPL,2027-09-30,9.53289,USD,0.1428571428571428
2026-09-02,2026-09-03T02:17:23+00:00,AMZN,2027-12-31,10.48527,USD,0.1428571428571428
2026-09-02,2026-09-03T02:17:23+00:00,GOOGL,2027-12-31,14.83929,USD,0.1428571428571428
2026-09-02,2026-09-03T02:17:23+00:00,META,2027-12-31,33.94621,USD,0.1428571428571428
2026-09-02,2026-09-03T02:17:23+00:00,MSFT,2028-06-30,23.57328,USD,0.1428571428571428
2026-09-02,2026-09-03T02:17:23+00:00,NVDA,2028-01-31,15.40425,USD,0.1428571428571428
2026-09-02,2026-09-03T02:17:23+00:00,TSLA,2027-12-31,2.15858,USD,0.1428571428571428
2026-09-03,2026-09-03T23:29:18+00:00,AAPL,2027-09-30,9.53289,USD,0.14285714285714285
2026-09-03,2026-09-03T23:29:18+00:00,AMZN,2027-12-31,10.48527,USD,0.14285714285714285
2026-09-03,2026-09-03T23:29:18+00:00,GOOGL,2027-12-31,14.83929,USD,0.14285714285714285
2026-09-03,2026-09-03T23:29:18+00:00,META,2027-12-31,33.94621,USD,0.14285714285714285
2026-09-03,2026-09-03T23:29:18+00:00,MSFT,2028-06-30,23.57328,USD,0.14285714285714285
2026-09-03,2026-09-03T23:29:18+00:00,NVDA,2028-01-31,15.40425,USD,0.14285714285714285
2026-09-03,2026-09-03T23:29:18+00:00,TSLA,2027-12-31,2.15858,USD,0.14285714285714285
