asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-02,2026-09-03T02:17:20+00:00,AAPL,2027-09-30,9.53289,USD,0.0643865655958047
2026-09-02,2026-09-03T02:17:20+00:00,ABBV,2027-12-31,16.28202,USD,0.006278963461528373
2026-09-02,2026-09-03T02:17:20+00:00,AMD,2027-12-31,15.45073,USD,0.010129906353583355
2026-09-02,2026-09-03T02:17:20+00:00,AMZN,2027-12-31,10.48527,USD,0.0373391836225128
2026-09-02,2026-09-03T02:17:20+00:00,AVGO,2027-10-31,19.5728,USD,0.02372038601579643
2026-09-02,2026-09-03T02:17:20+00:00,BAC,2027-12-31,5.29151,USD,0.005943029557747407
2026-09-02,2026-09-03T02:17:20+00:00,BRK-B,2027-12-31,22.19254,USD,0.014683891990322866
2026-09-02,2026-09-03T02:17:20+00:00,CAT,2027-12-31,32.37734,USD,0.0049444177413596165
2026-09-02,2026-09-03T02:17:20+00:00,COST,2027-08-31,22.70548,USD,0.005590248051990405
2026-09-02,2026-09-03T02:17:20+00:00,CSCO,2028-07-31,5.60226,USD,0.0058572726344415715
2026-09-02,2026-09-03T02:17:20+00:00,CVX,2027-12-31,13.24101,USD,0.005640034835455241
2026-09-02,2026-09-03T02:17:20+00:00,GOOG,2027-12-31,14.82767,USD,0.0554204590589326
2026-09-02,2026-09-03T02:17:20+00:00,GOOGL,2027-12-31,14.83929,USD,0.0559750283290447
2026-09-02,2026-09-03T02:17:20+00:00,INTC,2027-12-31,2.04013,USD,0.006423962106311092
2026-09-02,2026-09-03T02:17:20+00:00,JNJ,2027-12-31,12.42326,USD,0.0090042725655289
2026-09-02,2026-09-03T02:17:20+00:00,JPM,2027-12-31,25.00699,USD,0.01285551164940176
2026-09-02,2026-09-03T02:17:20+00:00,KO,2027-12-31,3.52638,USD,0.005154386794885764
2026-09-02,2026-09-03T02:17:20+00:00,LLY,2027-12-31,47.25548,USD,0.01404470180998018
2026-09-02,2026-09-03T02:17:20+00:00,MA,2027-12-31,23.02581,USD,0.006994802061473609
2026-09-02,2026-09-03T02:17:20+00:00,META,2027-12-31,33.94621,USD,0.02050433682798368
2026-09-02,2026-09-03T02:17:20+00:00,MRK,2027-12-31,9.54286,USD,0.00507924082877985
2026-09-02,2026-09-03T02:17:20+00:00,MSFT,2028-06-30,23.57328,USD,0.050085626110270315
2026-09-02,2026-09-03T02:17:20+00:00,MU,2027-08-31,155.02524,USD,0.014659699163453463
2026-09-02,2026-09-03T02:17:20+00:00,NVDA,2028-01-31,15.40425,USD,0.07356835786512099
2026-09-02,2026-09-03T02:17:20+00:00,ORCL,2028-05-31,10.92613,USD,0.005699775337678458
2026-09-02,2026-09-03T02:17:20+00:00,PLTR,2027-12-31,2.31424,USD,0.0055286261841532725
2026-09-02,2026-09-03T02:17:20+00:00,TSLA,2027-12-31,2.15858,USD,0.019143149447868563
2026-09-02,2026-09-03T02:17:20+00:00,V,2027-09-30,15.0043,USD,0.009591622968056674
2026-09-02,2026-09-03T02:17:20+00:00,WMT,2028-01-31,3.23097,USD,0.011427162602512827
2026-09-02,2026-09-03T02:17:20+00:00,XOM,2027-12-31,10.64294,USD,0.009163689084860956
